voice_label,lemma,lemma_freq,lemma_transitivity,verb_tense,verb_aspect,verb_form_participle,subj_present,subj_pos_type,obj_present,subj_distance,obj_distance,negation,sentence_length,dep_depth,clause_type,sentence_index_in_doc,doc_id,doc_genre,doc_passive_rate,previous_sentence_voice
passive,learn,7,0.0,Past,,True,False,MISSING,False,,,False,34,3,amod,1,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,
active,have,212,0.2783018867924528,Pres,,False,False,MISSING,False,,,False,34,1,aux,1,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,
active,provide,11,1.0,Past,,True,True,NOUN,True,0.3235294117647059,0.058823529411764705,False,34,0,root,1,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,
active,underlie,1,1.0,,,False,False,MISSING,True,,0.058823529411764705,False,34,3,acl,1,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,
active,suggest,8,0.125,Pres,,False,True,NOUN,False,0.02702702702702703,,False,37,0,root,2,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
active,acquire,2,0.5,,,False,False,MISSING,True,,0.05405405405405406,False,37,3,acl,2,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
active,can,66,0.0,,,False,False,MISSING,False,,,False,37,2,aux,2,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
active,be,962,0.002079002079002079,Pres,,False,False,MISSING,False,,,False,15,1,cop,3,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
active,attain,1,1.0,Past,,True,False,MISSING,True,,0.3333333333333333,False,15,1,csubj,3,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
active,be,962,0.002079002079002079,Pres,,False,False,MISSING,False,,,False,23,1,cop,4,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
active,follow,16,0.625,,,False,False,MISSING,True,,0.0625,False,32,3,acl,5,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
active,be,962,0.002079002079002079,Pres,,False,False,MISSING,False,,,False,32,1,cop,5,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
active,may,24,0.0,,,False,False,MISSING,False,,,False,32,2,aux,5,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
active,may,24,0.0,,,False,False,MISSING,False,,,False,49,1,aux,6,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
passive,find,7,0.42857142857142855,Past,,True,True,NOUN,False,0.061224489795918366,,False,49,0,root,6,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
active,include,9,0.1111111111111111,Pres,,True,False,MISSING,False,,,False,49,3,case,6,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
active,study,1,1.0,Pres,,False,True,PRON,True,0.02040816326530612,0.04081632653061224,False,49,3,advcl:relcl,6,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
active,stop,8,0.125,Pres,,False,False,MISSING,False,,,False,49,4,conj,6,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
active,take,37,0.8378378378378378,,,False,False,MISSING,True,,0.02040816326530612,False,49,5,xcomp,6,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
passive,be,962,0.002079002079002079,Pres,,False,False,MISSING,False,,,False,49,5,aux:pass,6,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
passive,immerse,1,0.0,Past,,True,True,PRON,False,0.04081632653061224,,False,49,4,conj,6,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
active,move,12,0.3333333333333333,Pres,,False,False,MISSING,False,,,False,49,5,conj,6,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
active,examine,1,1.0,Pres,,False,True,PRON,True,0.012345679012345678,0.024691358024691357,False,81,0,root,7,UNKNOWN_DOC,UNKNOWN_GENRE,0.14974135583991288,active
